antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift,p_value,significant_bonferroni,significant_at_kept_alpha
Database + GCP,AWS,39,115,38,5.73,0.974,5.617,1.2350062493728444e-30,True,True
Data Modeling + Power BI,SQL,40,344,38,5.73,0.95,1.831,1.1172131239499729e-09,True,True
Oracle + Reporting,SQL,43,344,38,5.73,0.884,1.703,1.957477758159096e-07,True,True
Data Modeling + ETL,Data Warehouse,47,141,38,5.73,0.809,3.802,9.559086519232701e-20,True,True
Data Visualization + Python,Power BI,47,176,38,5.73,0.809,3.046,7.763192527776224e-16,True,True
Kubernetes,Python,51,313,38,5.73,0.745,1.578,3.616821020927547e-05,False,False
NoSQL,Python,51,313,38,5.73,0.745,1.578,3.616821020927547e-05,False,False
Cloud + Data Management,SQL,51,344,38,5.73,0.745,1.436,0.000516211827366922,False,False
Data Modeling + Reporting,Data Warehouse,52,141,38,5.73,0.731,3.436,5.094145762574785e-17,True,True
Data Quality + ETL,Python,53,313,38,5.73,0.717,1.519,0.0001521757895863464,False,False
Data Modeling + Data Warehouse,ETL,54,128,38,5.73,0.704,3.645,8.459813877455216e-18,True,True
Data Modeling + Data Warehouse,Reporting,54,273,38,5.73,0.704,1.709,5.931999565493492e-06,True,True
Data Visualization + Power BI,Python,54,313,38,5.73,0.704,1.491,0.0002906007902140427,False,False
Business Intelligence,Data Analysis,56,272,38,5.73,0.679,1.654,2.1147269107294113e-05,False,True
TensorFlow,AI,57,147,38,5.73,0.667,3.007,3.760862570508313e-14,True,True
SQL Server,Reporting,58,273,38,5.73,0.655,1.591,8.028686440892265e-05,False,False
Oracle + SQL,Reporting,58,273,38,5.73,0.655,1.591,8.028686440892265e-05,False,False
Data Quality + Python,ETL,67,128,38,5.73,0.567,2.938,4.13502527703013e-13,True,True
Data Modeling + SQL,Power BI,70,176,38,5.73,0.543,2.045,1.586442680796556e-07,True,True
Cloud + Machine Learning,GCP,72,81,38,5.73,0.528,4.32,6.030862041454365e-20,True,True
Docker,Cloud,73,150,38,5.73,0.521,2.301,4.320644171837676e-09,True,True
Oracle,Data Warehouse,74,141,38,5.73,0.514,2.415,8.955260242106965e-10,True,True
Data Analysis + Machine Learning,Data Science,78,151,38,5.73,0.487,2.139,6.204028897941446e-08,True,True
Spark,Data Warehouse,79,141,38,5.73,0.481,2.262,1.0640327619237559e-08,True,True
Cloud + SQL,Data Management,79,200,38,5.73,0.481,1.595,0.0002687804335605014,False,False
Data Management + Data Warehouse,ELT,80,63,38,5.73,0.475,4.999,3.9596403891785226e-23,True,True
Data Warehouse + Reporting,Data Modeling,80,85,38,5.73,0.475,3.705,6.970264974684943e-17,True,True
Data Warehouse + Python,ELT,82,63,38,5.73,0.463,4.877,1.2765930304127888e-22,True,True
Data Warehouse + ETL,Data Modeling,82,85,38,5.73,0.463,3.615,2.079012469733828e-16,True,True
Database + Reporting,Data Warehouse,83,141,38,5.73,0.458,2.153,6.210663879562098e-08,True,True
ETL + Python,Data Analysis,83,272,38,5.73,0.458,1.116,0.20486570273780264,False,False
Power BI + Python,Data Visualization,90,77,38,5.73,0.422,3.635,1.4960720253113473e-16,True,True
Data Pipeline,Data Quality,93,114,38,5.73,0.409,2.376,3.0049519198110243e-09,True,True
Data Pipeline,Data Warehouse,93,141,38,5.73,0.409,1.921,2.5907269650995576e-06,True,True
Data Pipeline,Machine Learning,93,219,38,5.73,0.409,1.237,0.05487903610398892,False,False
Database + GCP,Python,39,313,37,5.58,0.949,2.01,6.363371193889634e-11,True,True
Data Visualization + Statistics,Data Analysis,40,272,37,5.58,0.925,2.255,2.5958567504084482e-12,True,True
Data Management + Oracle,SQL,40,344,37,5.58,0.925,1.783,1.5026737590880766e-08,True,True
Data Science + Power BI,SQL,41,344,37,5.58,0.902,1.739,8.028763649431372e-08,True,True
Statistics + Tableau,SQL,41,344,37,5.58,0.902,1.739,8.028763649431372e-08,True,True
Data Science + English,Python,45,313,37,5.58,0.822,1.742,6.272537307547475e-07,True,True
Azure + Machine Learning,Cloud,47,150,37,5.58,0.787,3.48,2.116808327219138e-17,True,True
Data Management + Statistics,SQL,47,344,37,5.58,0.787,1.517,8.123833561747055e-05,False,False
Big Data + ETL,Data Warehouse,49,141,37,5.58,0.755,3.551,2.246871990383711e-17,True,True
ETL + English,Python,50,313,37,5.58,0.74,1.567,6.0464151144444016e-05,False,False
Cloud + Data Management,AWS,51,115,37,5.58,0.725,4.183,5.993908560157523e-20,True,True
AI + Cloud,LLM,52,117,37,5.58,0.712,4.032,3.7049435598243714e-19,True,True
Database + LLM,API,53,138,37,5.58,0.698,3.354,7.659878218356138e-16,True,True
Big Data + Data Warehouse,ETL,55,128,37,5.58,0.673,3.485,2.839829718943016e-16,True,True
Data Quality + Data Warehouse,Data Management,55,200,37,5.58,0.673,2.23,3.0682421128406067e-09,True,True
Data Quality + Data Warehouse,Python,55,313,37,5.58,0.673,1.425,0.0014207763145645703,False,False
Business Intelligence,Power BI,56,176,37,5.58,0.661,2.489,8.955213055015338e-11,True,True
Data Management + Data Quality,Data Warehouse,58,141,37,5.58,0.638,3.0,1.5981497791171367e-13,True,True
Oracle + SQL,Data Management,58,200,37,5.58,0.638,2.115,2.8879251630976022e-08,True,True
PyTorch,Deep Learning,59,64,37,5.58,0.627,6.497,4.4737939713565755e-28,True,True
Data Analysis + Data Visualization,Statistics,62,116,37,5.58,0.597,3.411,2.215223851668928e-15,True,True
Deep Learning,PyTorch,64,59,37,5.58,0.578,6.497,4.4737939713565755e-28,True,True
API + English,Machine Learning,64,219,37,5.58,0.578,1.75,1.568689852858852e-05,False,True
GCP + Python,Database,65,202,37,5.58,0.569,1.868,2.7165857694340742e-06,True,True
Data Quality + Python,Data Warehouse,67,141,37,5.58,0.552,2.597,9.165271278250512e-11,True,True
Data Lake,Data Management,67,200,37,5.58,0.552,1.831,5.635305199619828e-06,True,True
Azure + Cloud,Machine Learning,67,219,37,5.58,0.552,1.672,6.557653076420595e-05,False,False
CI/CD,Docker,69,73,37,5.58,0.536,4.87,9.591931597020696e-22,True,True
API + Machine Learning,English,69,241,37,5.58,0.536,1.475,0.0014965509149124157,False,False
Cloud + Machine Learning,Azure,72,95,37,5.58,0.514,3.586,7.064573271409649e-16,True,True
Docker,CI/CD,73,69,37,5.58,0.507,4.87,9.591931597020696e-22,True,True
Docker,English,73,241,37,5.58,0.507,1.394,0.005640805838804053,False,False
Data Governance,Data Analysis,74,272,37,5.58,0.5,1.219,0.0625326239005356,False,False
Data Visualization,Tableau,77,92,37,5.58,0.481,3.463,3.5370527492451256e-15,True,True
Data Management + Data Warehouse,Data Quality,80,114,37,5.58,0.463,2.69,5.8101049191369065e-11,True,True
Database + Machine Learning,API,80,138,37,5.58,0.463,2.222,3.557966189041223e-08,True,True
Data Warehouse + ETL,Big Data,82,108,37,5.58,0.451,2.77,2.1539912200813195e-11,True,True
Data Warehouse + Python,Data Quality,82,114,37,5.58,0.451,2.624,1.482987706476443e-10,True,True
English + Reporting,Data Management,84,200,37,5.58,0.44,1.46,0.0027879904099900633,False,False
SQL + Statistics,Tableau,85,92,37,5.58,0.435,3.137,2.095087783472437e-13,True,True
Data Modeling,Database,85,202,37,5.58,0.435,1.429,0.004422582345945728,False,False
Data Analysis + Statistics,Data Visualization,90,77,37,5.58,0.411,3.54,1.44344332544978e-15,True,True
Tableau,Data Visualization,92,77,37,5.58,0.402,3.463,3.5370527492451256e-15,True,True
English + Machine Learning,API,93,138,37,5.58,0.398,1.911,4.450124859478051e-06,True,True
Azure,API,95,138,37,5.58,0.389,1.871,8.279834117659219e-06,True,True
Azure,Data Management,95,200,37,5.58,0.389,1.291,0.030779828745233523,False,False
API + Python,Git,97,72,37,5.58,0.381,3.512,1.6430854082446298e-15,True,True
API + Python,Docker,97,73,37,5.58,0.381,3.464,3.004021030668775e-15,True,True
Data Warehouse + Oracle,SQL,38,344,36,5.43,0.947,1.826,4.165566700306561e-09,True,True
ETL + SQL Server,SQL,39,344,36,5.43,0.923,1.779,2.8227237596347897e-08,True,True
AWS + CI/CD,Cloud,40,150,36,5.43,0.9,3.978,6.593762155055683e-21,True,True
Cloud + Data Pipeline,Python,40,313,36,5.43,0.9,1.906,5.74308516503476e-09,True,True
Statistics + Tableau,Data Analysis,41,272,36,5.43,0.878,2.14,2.0850757228805462e-10,True,True
LLM + SQL,Machine Learning,42,219,36,5.43,0.857,2.595,4.21688491802981e-13,True,True
Cloud + Spark,AWS,43,115,36,5.43,0.837,4.827,2.944453496833121e-23,True,True
CI/CD + Cloud,AWS,43,115,36,5.43,0.837,4.827,2.944453496833121e-23,True,True
MySQL,Database,45,202,36,5.43,0.8,2.626,1.4896747931053739e-12,True,True
Azure + Database,Python,46,313,36,5.43,0.783,1.658,8.571226998268498e-06,True,True
AWS + Data Management,GCP,47,81,36,5.43,0.766,6.27,2.652236314577987e-27,True,True
SQL + SQL Server,ETL,47,128,36,5.43,0.766,3.967,6.863142163480512e-19,True,True
Data Management + Statistics,Python,47,313,36,5.43,0.766,1.622,2.0747544720313923e-05,False,True
Data Science + Database,Python,47,313,36,5.43,0.766,1.622,2.0747544720313923e-05,False,True
Kafka,Spark,48,79,36,5.43,0.75,6.294,3.1353672484460688e-27,True,True
NLP,AI,48,147,36,5.43,0.75,3.383,4.856826397312383e-16,True,True
Kafka,SQL,48,344,36,5.43,0.75,1.445,0.0005951661029502446,False,False
ETL + Power BI,Python,49,313,36,5.43,0.735,1.556,0.00010025160503257103,False,False
Data Analysis + Data Quality,Reporting,52,273,36,5.43,0.692,1.681,1.9815638410627625e-05,False,True
Data Quality + ETL,Data Management,53,200,36,5.43,0.679,2.252,3.475594680284908e-09,True,True
Data Quality + Database,Python,53,313,36,5.43,0.679,1.439,0.0012610027708255265,False,False
AI + SQL,Database,54,202,36,5.43,0.667,2.188,1.0602338682484118e-08,True,True
Deep Learning + Python,PyTorch,55,59,36,5.43,0.655,7.355,5.2381387599042235e-30,True,True
Data Warehouse + Power BI,Python,55,313,36,5.43,0.655,1.386,0.0034957869181740475,False,False
Airflow,ETL,58,128,36,5.43,0.621,3.215,3.9001447809044513e-14,True,True
Data Management + Data Quality,ETL,58,128,36,5.43,0.621,3.215,3.9001447809044513e-14,True,True
Oracle + SQL,Data Warehouse,58,141,36,5.43,0.621,2.919,1.2969743077725492e-12,True,True
Azure + Python,Database,62,202,36,5.43,0.581,1.906,1.965402016183604e-06,True,True
ELT,Reporting,63,273,36,5.43,0.571,1.388,0.005349479333553759,False,False
API + English,AI,64,147,36,5.43,0.562,2.537,3.4568386815445326e-10,True,True
Data Analysis + Data Warehouse,Power BI,65,176,36,5.43,0.554,2.086,1.828488082556961e-07,True,True
AI + API,English,66,241,36,5.43,0.545,1.501,0.0011468033763495729,False,False
Data Quality + Python,Database,67,202,36,5.43,0.537,1.764,2.3736085681787926e-05,False,True
Data Lake,Reporting,67,273,36,5.43,0.537,1.305,0.019776779777774835,False,False
AI + English,API,69,138,36,5.43,0.522,2.507,7.863590551951862e-10,True,True
Data Engineering + SQL,Data Warehouse,69,141,36,5.43,0.522,2.453,1.590664766527803e-09,True,True
Data Analysis + Tableau,Statistics,70,116,36,5.43,0.514,2.939,3.5558021283920866e-12,True,True
Data Management + ETL,Data Quality,72,114,36,5.43,0.5,2.908,5.888460441435521e-12,True,True
Python + Statistics,Data Management,72,200,36,5.43,0.5,1.658,0.00014575289238367178,False,False
Git,Machine Learning,72,219,36,5.43,0.5,1.514,0.0011899715735046103,False,False
Git,English,72,241,36,5.43,0.5,1.376,0.008464912804124947,False,False
Data Governance,Data Warehouse,74,141,36,5.43,0.486,2.288,1.9978062512876112e-08,True,True
Data Governance,Data Management,74,200,36,5.43,0.486,1.613,0.00030207992836923285,False,False
Data Analysis + Machine Learning,Data Management,78,200,36,5.43,0.462,1.53,0.0011157493024228989,False,False
Spark,Kafka,79,48,36,5.43,0.456,6.294,3.1353672484460688e-27,True,True
Cloud + SQL,ETL,79,128,36,5.43,0.456,2.36,9.223962216728748e-09,True,True
Cloud + SQL,Data Warehouse,79,141,36,5.43,0.456,2.143,1.8176766403151364e-07,True,True
ETL + Python,Power BI,83,176,36,5.43,0.434,1.634,0.0002848847818326705,False,False
Power BI + Python,ETL,90,128,36,5.43,0.4,2.072,6.464539704359082e-07,True,True
Power BI + Python,Data Warehouse,90,141,36,5.43,0.4,1.881,9.634347188745575e-06,True,True
AWS + Cloud,CI/CD,95,69,36,5.43,0.379,3.641,1.0731682498182947e-15,True,True
ELT + Reporting,Data Warehouse,36,141,35,5.28,0.972,4.572,2.193887101533607e-24,True,True
Data Visualization + Tableau,SQL,37,344,35,5.28,0.946,1.823,8.007811030921233e-09,True,True
Data Pipeline + Reporting,SQL,38,344,35,5.28,0.921,1.775,5.283399488809242e-08,True,True
Data Management + GCP,Python,39,313,35,5.28,0.897,1.901,1.1634586570719841e-08,True,True
AI + Data Management,Machine Learning,40,219,35,5.28,0.875,2.649,2.5122574859624663e-13,True,True
Data Visualization + Statistics,Reporting,40,273,35,5.28,0.875,2.125,5.468153331920678e-10,True,True
Data Modeling + Power BI,Reporting,40,273,35,5.28,0.875,2.125,5.468153331920678e-10,True,True
AI + Data Management,Python,40,313,35,5.28,0.875,1.853,5.2875096410515464e-08,True,True
AI + AWS,Python,40,313,35,5.28,0.875,1.853,5.2875096410515464e-08,True,True
Data Visualization + Statistics,SQL,40,344,35,5.28,0.875,1.686,1.1159228060079931e-06,True,True
Data Engineering + Data Quality,SQL,42,344,35,5.28,0.833,1.606,1.2360548413247659e-05,False,True
GCP + Machine Learning,Azure,43,95,35,5.28,0.814,5.681,3.6181737952328e-25,True,True
Cloud + ETL,AWS,46,115,35,5.28,0.761,4.387,5.543628629104999e-20,True,True
Azure + Machine Learning,GCP,47,81,35,5.28,0.745,6.095,9.91166345608489e-26,True,True
Cloud + Data Engineering,Python,47,313,35,5.28,0.745,1.577,7.890260175429159e-05,False,False
AWS + Data Management,SQL,47,344,35,5.28,0.745,1.435,0.0009015269273602673,False,False
API + Cloud,AWS,49,115,35,5.28,0.714,4.118,1.8732632862879665e-18,True,True
Data Modeling + Reporting,Power BI,52,176,35,5.28,0.673,2.536,1.4562222497447064e-10,True,True
Data Warehouse + ELT,Reporting,53,273,35,5.28,0.66,1.604,0.0001258673600735349,False,False
Data Visualization + Power BI,Tableau,54,92,35,5.28,0.648,4.671,4.184924012023562e-20,True,True
Machine Learning + Statistics,Data Science,54,151,35,5.28,0.648,2.846,4.541616499006807e-12,True,True
Data Quality + Data Warehouse,Reporting,55,273,35,5.28,0.636,1.545,0.00038484250678604264,False,False
SQL Server,Database,58,202,35,5.28,0.603,1.981,7.603734131450202e-07,True,True
SQL Server,Python,58,313,35,5.28,0.603,1.278,0.02496077743298525,False,False
Data Visualization + SQL,Tableau,59,92,35,5.28,0.593,4.275,3.05845343489029e-18,True,True
Data Visualization + Reporting,Statistics,59,116,35,5.28,0.593,3.391,2.1115061637955448e-14,True,True
Data Visualization + SQL,Statistics,59,116,35,5.28,0.593,3.391,2.1115061637955448e-14,True,True
ELT,Data Lake,63,67,35,5.28,0.556,5.498,8.979591807438661e-23,True,True
ELT,Database,63,202,35,5.28,0.556,1.823,1.1561786335568079e-05,True,True
Data Management + Data Science,Data Analysis,63,272,35,5.28,0.556,1.354,0.010368378995379736,False,False
GCP + Python,Data Management,65,200,35,5.28,0.538,1.785,2.3007446940420436e-05,False,True
Data Engineering + Python,Cloud,66,150,35,5.28,0.53,2.344,1.0989248053985784e-08,True,True
Data Lake,ELT,67,63,35,5.28,0.522,5.498,8.979591807438661e-23,True,True
Data Lake,Database,67,202,35,5.28,0.522,1.715,7.093028650312492e-05,False,False
CI/CD,Git,69,72,35,5.28,0.507,4.671,1.4026384060563454e-19,True,True
Data Engineering + SQL,Data Quality,69,114,35,5.28,0.507,2.95,7.416743222786528e-12,True,True
AWS + SQL,ETL,70,128,35,5.28,0.5,2.59,6.179480614622818e-10,True,True
AWS + SQL,Data Management,70,200,35,5.28,0.5,1.658,0.00018391144225704054,False,False
Git,CI/CD,72,69,35,5.28,0.486,4.671,1.4026384060563454e-19,True,True
Reporting + Statistics,Data Visualization,72,77,35,5.28,0.486,4.186,1.5154754540670602e-17,True,True
Agile,Business Analysis,72,109,35,5.28,0.486,2.957,8.072487298659333e-12,True,True
Git,AI,72,147,35,5.28,0.486,2.192,1.1890473822491526e-07,True,True
Data Analysis + Data Science,Data Management,73,200,35,5.28,0.479,1.589,0.0005360561176500483,False,False
Data Warehouse + Reporting,ELT,80,63,35,5.28,0.438,4.604,2.1019031640535082e-19,True,True
SQL + Statistics,Data Visualization,85,77,35,5.28,0.412,3.545,1.2376806599216471e-14,True,True
Data Modeling,Data Pipeline,85,93,35,5.28,0.412,2.935,1.4615559095681512e-11,True,True
AWS + Python,AI,86,147,35,5.28,0.407,1.836,2.4297083612247745e-05,False,True
Tableau,Data Management,92,200,35,5.28,0.38,1.261,0.051079312956657304,False,False
Data Pipeline,Data Modeling,93,85,35,5.28,0.376,2.935,1.4615559095681512e-11,True,True
Data Pipeline,Big Data,93,108,35,5.28,0.376,2.31,4.309926077027795e-08,True,True
Data Analysis + Data Management,Data Science,93,151,35,5.28,0.376,1.652,0.0003346865291582942,False,False
AWS + Cloud,API,95,138,35,5.28,0.368,1.77,6.820078162344705e-05,False,False
Data Science + LLM,Machine Learning,35,219,34,5.13,0.971,2.941,1.743393360845962e-16,True,True
Hadoop,Spark,37,79,34,5.13,0.919,7.712,1.2960589434192226e-31,True,True
Looker,Power BI,37,176,34,5.13,0.919,3.462,7.509187837850027e-18,True,True
Big Data + Data Quality,SQL,37,344,34,5.13,0.919,1.771,9.85277823037895e-08,True,True
Data Pipeline + Machine Learning,Python,38,313,34,5.13,0.895,1.895,2.3459822367077013e-08,True,True
Data Pipeline + Data Warehouse,SQL,38,344,34,5.13,0.895,1.724,4.869249753372147e-07,True,True
Data Pipeline + Data Quality,SQL,38,344,34,5.13,0.895,1.724,4.869249753372147e-07,True,True
Docker + LLM,Python,39,313,34,5.13,0.872,1.847,1.0387142578230572e-07,True,True
Data Management + SQL Server,SQL,39,344,34,5.13,0.872,1.68,1.974641583532447e-06,True,True
Database + Oracle,SQL,39,344,34,5.13,0.872,1.68,1.974641583532447e-06,True,True
PostgreSQL + Python,Database,40,202,34,5.13,0.85,2.79,2.2078382942032933e-13,True,True
Data Quality + Power BI,Reporting,40,273,34,5.13,0.85,2.064,5.254009598737303e-09,True,True
Data Science + Power BI,Reporting,41,273,34,5.13,0.829,2.014,1.934644902340106e-08,True,True
AI + Data Science,Python,42,313,34,5.13,0.81,1.715,3.881543141033172e-06,True,True
Cloud + Data Science,Python,43,313,34,5.13,0.791,1.675,1.0504284935875423e-05,True,True
Data Lake + ETL,ELT,45,63,34,5.13,0.756,7.951,3.792763623475254e-30,True,True
Data Management + Data Modeling,Data Warehouse,46,141,34,5.13,0.739,3.475,1.87463296661061e-15,True,True
Cloud + ETL,Python,46,313,34,5.13,0.739,1.566,0.0001313676612152812,False,False
SQL + SQL Server,Data Management,47,200,34,5.13,0.723,2.398,7.018475875412786e-10,True,True
Kubernetes,Cloud,51,150,34,5.13,0.667,2.947,2.306549183594065e-12,True,True
Big Data + Database,Data Management,51,200,34,5.13,0.667,2.21,2.1990873835764293e-08,True,True
Big Data + Data Analysis,Reporting,51,273,34,5.13,0.667,1.619,0.00011924427793579672,False,False
Database + PostgreSQL,Python,51,313,34,5.13,0.667,1.412,0.0028771579872785787,False,False
Data Modeling + Data Warehouse,Data Management,54,200,34,5.13,0.63,2.087,1.9236726096625525e-07,True,True
TensorFlow,Deep Learning,57,64,34,5.13,0.596,6.179,2.318131024736296e-24,True,True
Data Analysis + ETL,Power BI,57,176,34,5.13,0.596,2.247,3.314176082215885e-08,True,True
Airflow,Data Management,58,200,34,5.13,0.586,1.943,2.266675838275004e-06,True,True
Airflow,Database,58,202,34,5.13,0.586,1.924,2.9648524120559257e-06,True,True
Oracle + SQL,Database,58,202,34,5.13,0.586,1.924,2.9648524120559257e-06,True,True
Cloud + English,Machine Learning,58,219,34,5.13,0.586,1.775,2.4530790984327188e-05,False,True
Big Data + Data Management,Database,60,202,34,5.13,0.567,1.86,8.677726042634513e-06,True,True
Deep Learning,TensorFlow,64,57,34,5.13,0.531,6.179,2.318131024736296e-24,True,True
Data Management + English,Machine Learning,66,219,34,5.13,0.515,1.56,0.0008259743187477506,False,False
Cloud + Database,Azure,67,95,34,5.13,0.507,3.542,2.820303571522363e-14,True,True
Data Science + Reporting,Statistics,67,116,34,5.13,0.507,2.9,2.8847901480079464e-11,True,True
Machine Learning + Reporting,Data Management,69,200,34,5.13,0.493,1.633,0.0003352665858186056,False,False
Reporting + Statistics,Tableau,72,92,34,5.13,0.472,3.403,1.479834835041249e-13,True,True
Cloud + Machine Learning,LLM,72,117,34,5.13,0.472,2.676,5.178438521163829e-10,True,True
Data Pipeline + SQL,Data Quality,73,114,34,5.13,0.466,2.709,3.6613254201818307e-10,True,True
Data Pipeline + SQL,Data Warehouse,73,141,34,5.13,0.466,2.19,2.2625851975896152e-07,True,True
Oracle,ETL,74,128,34,5.13,0.459,2.38,2.1031041035026574e-08,True,True
Spark,Hadoop,79,37,34,5.13,0.43,7.712,1.2960589434192226e-31,True,True
Spark,Data Engineering,79,100,34,5.13,0.43,2.853,8.051540258574096e-11,True,True
Big Data + SQL,Data Quality,80,114,34,5.13,0.425,2.472,8.117916567309113e-09,True,True
GCP,English,81,241,34,5.13,0.42,1.155,0.1585934583738373,False,False
ETL + Python,Cloud,83,150,34,5.13,0.41,1.811,4.5465028663762925e-05,False,False
Data Quality + SQL,Data Modeling,84,85,34,5.13,0.405,3.157,2.6132153573586046e-12,True,True
Data Quality + SQL,Data Pipeline,84,93,34,5.13,0.405,2.886,5.954946965703376e-11,True,True
Data Quality + SQL,Big Data,84,108,34,5.13,0.405,2.485,7.493307357058412e-09,True,True
Data Management + Database,Big Data,91,108,34,5.13,0.374,2.294,9.12325784769286e-08,True,True
Data Science + Python,AI,92,147,34,5.13,0.37,1.667,0.00035172469168854496,False,False
Data Science + Python,Cloud,92,150,34,5.13,0.37,1.633,0.0005458551738714336,False,False
LLM + Python,Docker,93,73,34,5.13,0.366,3.32,3.691967112898974e-13,True,True
English + Machine Learning,Cloud,93,150,34,5.13,0.366,1.616,0.0006944913119298105,False,False
Azure,AI,95,147,34,5.13,0.358,1.614,0.0007235754867675058,False,False
AWS + Cloud,AI,95,147,34,5.13,0.358,1.614,0.0007235754867675058,False,False
Data Lake + Python,SQL,33,344,33,4.98,1.0,1.927,1.8176251104297972e-10,True,True
scikit-learn,Python,34,313,33,4.98,0.971,2.056,1.323147723624756e-10,True,True
Oracle + Python,SQL,34,344,33,4.98,0.971,1.871,3.2189275169944834e-09,True,True
Data Lake + ELT,Data Warehouse,35,141,33,4.98,0.943,4.433,1.033403723176044e-21,True,True
Python + SQL Server,SQL,35,344,33,4.98,0.943,1.817,2.9322129460037127e-08,True,True
Data Management + Tableau,SQL,35,344,33,4.98,0.943,1.817,2.9322129460037127e-08,True,True
dbt,SQL,36,344,33,4.98,0.917,1.767,1.8304560374775375e-07,True,True
Machine Learning + Power BI,SQL,37,344,33,4.98,0.892,1.719,8.803176306604592e-07,True,True
Kubernetes + Python,Docker,38,73,33,4.98,0.868,7.887,3.4873590802027336e-30,True,True
Data Pipeline + Data Warehouse,ETL,38,128,33,4.98,0.868,4.498,1.4783170997684158e-20,True,True
Reporting + SQL Server,SQL,38,344,33,4.98,0.868,1.674,3.4767091557938706e-06,True,True
Data Management + SQL Server,ETL,39,128,33,4.98,0.846,4.383,8.192907725269265e-20,True,True
ETL + SQL Server,Data Management,39,200,33,4.98,0.846,2.805,4.979772556929023e-13,True,True
AI + AWS,Machine Learning,40,219,33,4.98,0.825,2.498,4.102627358100835e-11,True,True
Big Data + English,SQL,40,344,33,4.98,0.825,1.59,3.482566406794636e-05,False,False
Cloud + Data Science,Machine Learning,43,219,33,4.98,0.767,2.323,1.5152613665632055e-09,True,True
Data Engineering + Reporting,SQL,43,344,33,4.98,0.767,1.479,0.0005004061337869986,False,False
CI/CD + SQL,Python,44,313,33,4.98,0.75,1.589,0.00010224345038400094,False,False
MySQL,SQL,45,344,33,4.98,0.733,1.413,0.0020196304789132802,False,False
Data Management + Data Modeling,ETL,46,128,33,4.98,0.717,3.716,8.314775769760373e-16,True,True
CI/CD + Python,SQL,46,344,33,4.98,0.717,1.383,0.003707111442278262,False,False
Cloud + Data Engineering,AWS,47,115,33,4.98,0.702,4.048,5.434040776280458e-17,True,True
Data Pipeline + ETL,Data Warehouse,47,141,33,4.98,0.702,3.301,6.519792505026033e-14,True,True
Data Modeling + ETL,Data Management,47,200,33,4.98,0.702,2.328,4.677301323205629e-09,True,True
Data Modeling + ETL,Reporting,47,273,33,4.98,0.702,1.705,2.9170322215992898e-05,False,True
SQL + SQL Server,Python,47,313,33,4.98,0.702,1.487,0.0008230148695404295,False,False
Data Modeling + ETL,Python,47,313,33,4.98,0.702,1.487,0.0008230148695404295,False,False
Java,SQL,47,344,33,4.98,0.702,1.353,0.006456935711822776,False,False
Cloud + LLM,AWS,48,115,33,4.98,0.688,3.964,1.5148254654605808e-16,True,True
NLP,LLM,48,117,33,4.98,0.688,3.896,2.79510622772758e-16,True,True
Big Data + ETL,Data Management,49,200,33,4.98,0.673,2.233,2.4983766635672196e-08,True,True
Data Modeling + Python,ETL,51,128,33,4.98,0.647,3.352,1.014873197216979e-13,True,True
Big Data + Database,Data Warehouse,51,141,33,4.98,0.647,3.043,2.5279607949334567e-12,True,True
NoSQL,Data Management,51,200,33,4.98,0.647,2.145,1.1329987596397046e-07,True,True
AWS + English,Machine Learning,51,219,33,4.98,0.647,1.959,1.4096150109641129e-06,True,True
Data Modeling + Reporting,ETL,52,128,33,4.98,0.635,3.287,2.360773103845179e-13,True,True
Data Warehouse + ELT,Data Lake,53,67,33,4.98,0.623,6.161,1.4633603360018887e-23,True,True
Deep Learning + Python,TensorFlow,55,57,33,4.98,0.6,6.979,6.383732420372044e-26,True,True
Big Data + Data Warehouse,Database,55,202,33,4.98,0.6,1.969,2.0302889203173357e-06,True,True
Data Lake + Data Warehouse,ELT,57,63,33,4.98,0.579,6.093,3.0868088406317e-23,True,True
Big Data + Reporting,Data Warehouse,58,141,33,4.98,0.569,2.675,4.248708721644177e-10,True,True
AWS + Machine Learning,AI,58,147,33,4.98,0.569,2.566,1.516733383070477e-09,True,True
AWS + Machine Learning,English,58,241,33,4.98,0.569,1.565,0.0006864768833199273,False,False
Big Data + Data Management,ETL,60,128,33,4.98,0.55,2.849,7.34546027747211e-11,True,True
ELT,Data Quality,63,114,33,4.98,0.524,3.046,1.1051550626259718e-11,True,True
Data Lake,Big Data,67,108,33,4.98,0.493,3.024,1.8317820651459145e-11,True,True
Data Warehouse + Database,Big Data,71,108,33,4.98,0.465,2.853,1.4356382943353296e-10,True,True
Data Management + ETL,SQL Server,72,58,33,4.98,0.458,5.239,1.8859846250051346e-20,True,True
Git,Docker,72,73,33,4.98,0.458,4.163,2.566292888032729e-16,True,True
ETL + Reporting,Data Modeling,72,85,33,4.98,0.458,3.575,7.359353133866644e-14,True,True
Data Management + ETL,Data Modeling,72,85,33,4.98,0.458,3.575,7.359353133866644e-14,True,True
Data Management + ETL,Big Data,72,108,33,4.98,0.458,2.814,2.3270185322655294e-10,True,True
Git,LLM,72,117,33,4.98,0.458,2.597,2.7713199330494342e-09,True,True
Cloud + Machine Learning,Data Science,72,151,33,4.98,0.458,2.012,3.5606279843242782e-06,True,True
Docker,Git,73,72,33,4.98,0.452,4.163,2.566292888032729e-16,True,True
